1536, 0
1664, 0
1792, 0
1920, 0
1536, 128
1664, 128
1792, 128
1920, 128
2048, 128
1536, 256
1664, 256
1792, 256
1920, 256
2048, 256
2176, 256
2304, 256
1536, 384
1664, 384
1792, 384
1920, 384
2048, 384
2176, 384
2304, 384
1152, 512
1408, 512
1536, 512
1664, 512
1792, 512
2048, 512
2176, 512
896, 640
1024, 640
1152, 640
1280, 640
1408, 640
1536, 640
1664, 640
1792, 640
1920, 640
2048, 640
2176, 640
896, 768
1024, 768
1152, 768
1408, 768
1536, 768
1664, 768
1792, 768
1920, 768
2048, 768
640, 896
768, 896
896, 896
1152, 896
1664, 896
1792, 896
1920, 896
384, 1024
512, 1024
640, 1024
768, 1024
896, 1024
1152, 1024
1280, 1024
1408, 1024
1536, 1024
1664, 1024
1792, 1024
1920, 1024
2048, 1024
128, 1152
384, 1152
512, 1152
640, 1152
768, 1152
896, 1152
1024, 1152
1152, 1152
1280, 1152
1536, 1152
1664, 1152
1792, 1152
2048, 1152
2176, 1152
128, 1280
256, 1280
384, 1280
512, 1280
640, 1280
768, 1280
896, 1280
1152, 1280
1408, 1280
1536, 1280
1664, 1280
1792, 1280
1920, 1280
2048, 1280
2176, 1280
128, 1408
256, 1408
384, 1408
512, 1408
640, 1408
768, 1408
896, 1408
1152, 1408
1280, 1408
1536, 1408
1664, 1408
1792, 1408
1920, 1408
2048, 1408
2176, 1408
128, 1536
256, 1536
384, 1536
512, 1536
640, 1536
768, 1536
1024, 1536
1152, 1536
1280, 1536
1536, 1536
1920, 1536
256, 1664
384, 1664
512, 1664
640, 1664
768, 1664
896, 1664
1024, 1664
1152, 1664
1280, 1664
1408, 1664
1536, 1664
1664, 1664
1792, 1664
1920, 1664
256, 1792
512, 1792
640, 1792
768, 1792
896, 1792
1024, 1792
1152, 1792
1280, 1792
1408, 1792
1536, 1792
1664, 1792
1792, 1792
1920, 1792
128, 1920
256, 1920
512, 1920
640, 1920
768, 1920
896, 1920
1024, 1920
1152, 1920
1280, 1920
1408, 1920
1536, 1920
1664, 1920
1920, 1920
512, 2048
640, 2048
768, 2048
896, 2048
1024, 2048
1152, 2048
1280, 2048
1408, 2048
1536, 2048
1664, 2048
1792, 2048
1920, 2048
640, 2176
768, 2176
896, 2176
1024, 2176
1152, 2176
1280, 2176
1408, 2176
1536, 2176
1664, 2176
1792, 2176
896, 2304
1024, 2304
1152, 2304
1280, 2304
1408, 2304
1536, 2304
1664, 2304
1792, 2304
1920, 2304
896, 2432
1152, 2432
1280, 2432
1408, 2432
1536, 2432
1664, 2432
1792, 2432
1408, 2560
1536, 2560
1664, 2560
1792, 2560
1920, 2560
1408, 2688
1536, 2688
1664, 2688
1792, 2688
1920, 2688
2048, 2688
1280, 2816
1408, 2816
1536, 2816
1664, 2816
2048, 2816
1280, 2944
1408, 2944
1536, 2944
